"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5002","Login with non-existent email returns 401","","2026-05-06","skipped","2026-05-06","Login","Authentication","",""
"","690","Token is revoked after logout","","2026-05-06","passed","2026-05-06","Logout","Authentication","",""
"","2383","HEAD exists for existing user returns 200 with X-User-Exists true","","2026-05-06","passed","2026-05-06","User Exists","User Management","",""
"","2163","List users response does not include access_token","","2026-05-06","passed","2026-05-06","List Users","User Management","",""
"","156","Create mailbox with valid domain","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","2165","HEAD exists for non-existent user returns 404 with X-User-Exists false","","2026-05-06","passed","2026-05-06","User Exists","User Management","",""
"","2395","Delete user without token returns 401","","2026-05-06","passed","2026-05-06","Delete User","User Management","",""
"","2235","Access token has correct format after create","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","2163","Get user with non-existent ID returns 404","","2026-05-06","passed","2026-05-06","Get User","User Management","",""
"","2164","Exists for invalid ObjectID returns 404","","2026-05-06","passed","2026-05-06","User Exists","User Management","",""
"","2230","Create user with valid gender enum value","","2026-05-06","failed","2026-05-06","Create User","User Management","",""
"","2403","Create user then retrieve by ID","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","2434","Partial update email returns 200 with new email","","2026-05-06","passed","2026-05-06","Patch User","User Management","",""
"","2233","Create user with valid gender enum value","","2026-05-06","failed","2026-05-06","Create User","User Management","",""
"","155","Create mailbox with invalid domain returns 400","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","2251","Create user with valid employment status","","2026-05-06","failed","2026-05-06","Create User","User Management","",""
"","475","List messages returns body_preview not full body","","2026-05-06","passed","2026-05-06","Mail Messages","Mail Service","",""
"","561","Delete is rejected with revoked token after logout","","2026-05-06","passed","2026-05-06","Logout","Authentication","",""
"","170","List messages for non-existent mailbox returns 404","","2026-05-06","passed","2026-05-06","Mail Messages","Mail Service","",""
"","317","Send message returns 201 with full message object","","2026-05-06","passed","2026-05-06","Mail Send","Mail Service","",""
"","5003","Login response has x-request-id header","","2026-05-06","skipped","2026-05-06","Login","Authentication","",""
"","2569","Create then update then verify changes","","2026-05-06","passed","2026-05-06","Update User","User Management","",""
"","2161","Patch non-existent user returns 401 (wrong token)","","2026-05-06","passed","2026-05-06","Patch User","User Management","",""
"","159","Create mailbox with empty body returns 201","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","157","Mailbox response has request-id header","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","5003","Login token has correct format","","2026-05-06","skipped","2026-05-06","Login","Authentication","",""
"","568","Full login-logout-login flow","","2026-05-06","passed","2026-05-06","Logout","Authentication","",""
"","2220","Create user with valid gender enum value","","2026-05-06","failed","2026-05-06","Create User","User Management","",""
"","2218","Create user with duplicate email returns 409","","2026-05-06","failed","2026-05-06","Create User","User Management","",""
"","5002","Login with invalid email format returns 400","","2026-05-06","skipped","2026-05-06","Login","Authentication","",""
"","155","Create mailbox with valid domain","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
