"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2301","HEAD exists for existing user returns 200 with X-User-Exists true","","2026-05-06","passed","2026-05-06","User Exists","User Management","",""
"","2112","Get user with malformed ID returns 404","","2026-05-06","passed","2026-05-06","Get User","User Management","",""
"","2252","Create user with valid employment status","","2026-05-06","failed","2026-05-06","Create User","User Management","",""
"","2348","Create user then retrieve by ID","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","2280","Patch user without token returns 401","","2026-05-06","passed","2026-05-06","Patch User","User Management","",""
"","5003","Login with short password returns 400","","2026-05-06","skipped","2026-05-06","Login","Authentication","",""
"","2181","Create user with invalid gender value returns 400","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","5003","Login with wrong password returns 401","","2026-05-06","skipped","2026-05-06","Login","Authentication","",""
"","216","Create mailbox then retrieve it","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","2180","Create user with valid employment status","","2026-05-06","failed","2026-05-06","Create User","User Management","",""
"","2226","Create user with invalid email returns 400","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","335","List messages after sending one shows count 1","","2026-05-06","passed","2026-05-06","Mail Messages","Mail Service","",""
"","425","Messages are also deleted when mailbox is deleted","","2026-05-06","passed","2026-05-06","Mailbox Delete","Mail Service","",""
"","2113","Get user with malformed ID returns 404","","2026-05-06","passed","2026-05-06","Get User","User Management","",""
"","218","Send message returns 201 with full message object","","2026-05-06","passed","2026-05-06","Mail Send","Mail Service","",""
"","2125","Get user with non-existent ID returns 404","","2026-05-06","passed","2026-05-06","Get User","User Management","",""
"","414","Delete is rejected with revoked token after logout","","2026-05-06","passed","2026-05-06","Logout","Authentication","",""
"","221","Send message without body returns 400","","2026-05-06","passed","2026-05-06","Mail Send","Mail Service","",""
"","229","Get message with fake message ID returns 404","","2026-05-06","passed","2026-05-06","Mail Messages","Mail Service","",""
"","2300","Exists response always has X-User-Exists header","","2026-05-06","passed","2026-05-06","User Exists","User Management","",""
"","2185","Create user with valid theme setting","","2026-05-06","failed","2026-05-06","Create User","User Management","",""
"","111","Send message to non-existent mailbox returns 404","","2026-05-06","passed","2026-05-06","Mail Send","Mail Service","",""
"","2312","Update user with invalid email returns 400","","2026-05-06","passed","2026-05-06","Update User","User Management","",""
"","224","List messages returns 200 with count","","2026-05-06","passed","2026-05-06","Mail Messages","Mail Service","",""
"","2197","Response headers include x-request-id after create","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","2401","Create, delete, confirm HEAD returns 404","","2026-05-06","passed","2026-05-06","Delete User","User Management","",""
"","2104","OPTIONS response has Allow header","","2026-05-06","broken","2026-05-06","Options","User Management","",""
"","2206","Create user with valid gender enum value","","2026-05-06","failed","2026-05-06","Create User","User Management","",""
"","2545","Delete existing user returns 204","","2026-05-06","passed","2026-05-06","Delete User","User Management","",""
"","2489","Create user with valid employment status","","2026-05-06","failed","2026-05-06","Create User","User Management","",""
"","429","Get message with wrong mailbox token returns 404","","2026-05-06","passed","2026-05-06","Mail Messages","Mail Service","",""
"","213","Delete existing mailbox returns 204","","2026-05-06","passed","2026-05-06","Mailbox Delete","Mail Service","",""
