"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2265","Create user with invalid email returns 400","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","468","Send message then retrieve it from messages list","","2026-05-06","passed","2026-05-06","Mail Send","Mail Service","",""
"","370","Logout without token returns 401","","2026-05-06","passed","2026-05-06","Logout","Authentication","",""
"","2394","Delete existing user returns 204","","2026-05-06","passed","2026-05-06","Delete User","User Management","",""
"","2229","Create user with short first_name returns 400","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","2247","Create user with valid gender enum value","","2026-05-06","failed","2026-05-06","Create User","User Management","",""
"","2251","Access token has correct format after create","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","155","Create mailbox with valid domain","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","2259","Create user with valid employment status","","2026-05-06","failed","2026-05-06","Create User","User Management","",""
"","463","Deleted mailbox is not retrievable","","2026-05-06","passed","2026-05-06","Mailbox Delete","Mail Service","",""
"","2133","List users response has cache-control header","","2026-05-06","passed","2026-05-06","List Users","User Management","",""
"","5003","Login with wrong password returns 401","","2026-05-06","skipped","2026-05-06","Login","Authentication","",""
"","2130","Get user with malformed ID returns 404","","2026-05-06","passed","2026-05-06","Get User","User Management","",""
"","2380","Update user with missing email returns 400","","2026-05-06","passed","2026-05-06","Update User","User Management","",""
"","311","Send message with html_body","","2026-05-06","passed","2026-05-06","Mail Send","Mail Service","",""
"","308","Send message without from field returns 400","","2026-05-06","passed","2026-05-06","Mail Send","Mail Service","",""
"","2211","Create user without email returns 400","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","2279","Create user with valid employment status","","2026-05-06","failed","2026-05-06","Create User","User Management","",""
"","150","Create mailbox with too-long local_part returns 400","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","2152","Exists for invalid ObjectID returns 404","","2026-05-06","passed","2026-05-06","User Exists","User Management","",""
