"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2172","Create user without email returns 400","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","340","Logout returns 200 with success message","","2026-05-06","passed","2026-05-06","Logout","Authentication","",""
"","238","Response 204 has no body","","2026-05-06","passed","2026-05-06","Mailbox Delete","Mail Service","",""
"","2324","Delete user with wrong token returns 401","","2026-05-06","passed","2026-05-06","Delete User","User Management","",""
"","2122","OPTIONS returns 204","","2026-05-06","passed","2026-05-06","Options","User Management","",""
"","2318","Patch user with invalid email returns 400","","2026-05-06","passed","2026-05-06","Patch User","User Management","",""
"","13137","Login with missing email returns 400","","2026-05-06","passed","2026-05-06","Login","Authentication","",""
"","2121","Update non-existent user returns 404","","2026-05-06","passed","2026-05-06","Update User","User Management","",""
"","475","Full mailbox lifecycle","","2026-05-06","passed","2026-05-06","Mailbox Delete","Mail Service","",""
"","2426","Update user with invalid email returns 400","","2026-05-06","passed","2026-05-06","Update User","User Management","",""
"","2225","Create user with invalid email returns 400","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","2232","Access token has correct format after create","","2026-05-06","passed","2026-05-06","Create User","User Management","",""
"","13418","Login with valid credentials returns 200 with token","","2026-05-06","passed","2026-05-06","Login","Authentication","",""
"","431","Get existing mailbox returns 200 with correct data","","2026-05-06","passed","2026-05-06","Mailbox Get","Mail Service","",""
"","2380","Delete existing user returns 204","","2026-05-06","passed","2026-05-06","Delete User","User Management","",""
"","2122","Exists for invalid ObjectID returns 404","","2026-05-06","passed","2026-05-06","User Exists","User Management","",""
"","118","Create mailbox with valid domain","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","235","Create mailbox then retrieve it","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","228","Send message without from field returns 400","","2026-05-06","passed","2026-05-06","Mail Send","Mail Service","",""
"","115","Create mailbox with invalid chars in local_part returns 400","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","13171","Login with invalid email format returns 400","","2026-05-06","passed","2026-05-06","Login","Authentication","",""
"","470","Messages are sorted newest first","","2026-05-06","passed","2026-05-06","Mail Messages","Mail Service","",""
"","121","List messages for non-existent mailbox returns 404","","2026-05-06","passed","2026-05-06","Mail Messages","Mail Service","",""
"","2131","List users returns non-empty result","","2026-05-06","passed","2026-05-06","List Users","User Management","",""
"","119","Logout non-existent user returns 401","","2026-05-06","passed","2026-05-06","Logout","Authentication","",""
"","116","Create mailbox with invalid domain returns 400","","2026-05-06","passed","2026-05-06","Mailbox Create","Mail Service","",""
"","430","Delete is rejected with revoked token after logout","","2026-05-06","passed","2026-05-06","Logout","Authentication","",""
"","229","Get mailbox response has all required fields","","2026-05-06","passed","2026-05-06","Mailbox Get","Mail Service","",""
"","2236","GET exists for non-existent user returns 404","","2026-05-06","passed","2026-05-06","User Exists","User Management","",""
"","118","Delete non-existent mailbox returns 404","","2026-05-06","passed","2026-05-06","Mailbox Delete","Mail Service","",""
"","2330","Patch user without token returns 401","","2026-05-06","passed","2026-05-06","Patch User","User Management","",""
"","350","Deleted mailbox is not retrievable","","2026-05-06","passed","2026-05-06","Mailbox Delete","Mail Service","",""
