"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","405","Get message with wrong mailbox token returns 404","","2026-05-09","passed","2026-05-09","Mail Messages","Mail Service","",""
"","309","List messages after sending one shows count 1","","2026-05-09","passed","2026-05-09","Mail Messages","Mail Service","",""
"","2407","Create user with minimal required fields returns 201","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2283","GET exists (CDN alias) for existing user returns 200","","2026-05-09","passed","2026-05-09","User Exists","User Management","",""
"","210","List messages returns 200 with count","","2026-05-09","passed","2026-05-09","Mail Messages","Mail Service","",""
"","2164","Create user without first_name returns 400","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2165","Create user with valid employment status","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2270","Patch user without token returns 401","","2026-05-09","passed","2026-05-09","Patch User","User Management","",""
"","299","Logout returns 200 with success message","","2026-05-09","passed","2026-05-09","Logout","Authentication","",""
"","104","Logout non-existent user returns 401","","2026-05-09","passed","2026-05-09","Logout","Authentication","",""
"","398","Full mailbox lifecycle","","2026-05-09","passed","2026-05-09","Mailbox Delete","Mail Service","",""
"","103","Create mailbox with too-short local_part returns 400","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","2400","Patch user and verify with GET","","2026-05-09","passed","2026-05-09","Patch User","User Management","",""
"","2109","List users with page and per_page params","","2026-05-09","passed","2026-05-09","List Users","User Management","",""
"","13124","Login with missing email returns 400","","2026-05-09","passed","2026-05-09","Login","Authentication","",""
"","2104","Get user with malformed ID returns 404","","2026-05-09","passed","2026-05-09","Get User","User Management","",""
"","107","Health endpoint returns request-id header","","2026-05-09","passed","2026-05-09","Availability","Health Check","",""
"","2296","Update user with missing email returns 400","","2026-05-09","passed","2026-05-09","Update User","User Management","",""
"","102","Create mailbox with valid domain","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","100","Create mailbox with valid domain","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","2329","Get existing user returns 200 with full data","","2026-05-09","passed","2026-05-09","Get User","User Management","",""
"","208","Create duplicate mailbox address returns 409","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","2109","List users response does not include access_token","","2026-05-09","passed","2026-05-09","List Users","User Management","",""
"","13320","Login response includes correct user info","","2026-05-09","passed","2026-05-09","Login","Authentication","",""
"","102","Create mailbox with custom local_part","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","284","Logout with wrong token returns 401","","2026-05-09","passed","2026-05-09","Logout","Authentication","",""
"","308","Delete already-deleted mailbox returns 404","","2026-05-09","passed","2026-05-09","Mailbox Delete","Mail Service","",""
"","301","Send message then retrieve it from messages list","","2026-05-09","passed","2026-05-09","Mail Send","Mail Service","",""
"","2168","Create user without profile returns 400","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2314","Update user without auth token returns 401","","2026-05-09","passed","2026-05-09","Update User","User Management","",""
"","2166","Create user with valid gender enum value","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","384","Delete is rejected with revoked token after logout","","2026-05-09","passed","2026-05-09","Logout","Authentication","",""
"","2290","Patch user with invalid email returns 400","","2026-05-09","passed","2026-05-09","Patch User","User Management","",""
"","2283","Create user then retrieve by ID","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2181","Create user with duplicate email returns 409","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","104","Health endpoint returns correct content type","","2026-05-09","passed","2026-05-09","Availability","Health Check","",""
"","2411","Create then update then verify changes","","2026-05-09","passed","2026-05-09","Update User","User Management","",""
"","2103","Exists for invalid ObjectID returns 404","","2026-05-09","passed","2026-05-09","User Exists","User Management","",""
"","2119","List users response has cache-control header","","2026-05-09","passed","2026-05-09","List Users","User Management","",""
"","2161","Create user with invalid email returns 400","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2106","Create user without password returns 400","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","202","Delete existing mailbox returns 204","","2026-05-09","passed","2026-05-09","Mailbox Delete","Mail Service","",""
"","2103","Patch non-existent user returns 401 (wrong token)","","2026-05-09","passed","2026-05-09","Patch User","User Management","",""
"","390","Token is revoked after logout","","2026-05-09","passed","2026-05-09","Logout","Authentication","",""
"","2169","Create duplicate user returns 409","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2160","Create user with short username returns 400","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2159","Create user with invalid gender value returns 400","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","308","List messages returns body_preview not full body","","2026-05-09","passed","2026-05-09","Mail Messages","Mail Service","",""
"","2298","Patch response does not include access_token","","2026-05-09","passed","2026-05-09","Patch User","User Management","",""
"","298","Logout without token returns 401","","2026-05-09","passed","2026-05-09","Logout","Authentication","",""
"","13160","Login with invalid email format returns 400","","2026-05-09","passed","2026-05-09","Login","Authentication","",""
"","2104","Get user with malformed ID returns 404","","2026-05-09","passed","2026-05-09","Get User","User Management","",""
"","13362","Login response has x-request-id header","","2026-05-09","passed","2026-05-09","Login","Authentication","",""
"","2248","Create user with short first_name returns 400","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","204","Get existing mailbox returns 200 with correct data","","2026-05-09","passed","2026-05-09","Mailbox Get","Mail Service","",""
"","2175","Create user with valid employment status","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","98","Create mailbox with uppercase in local_part returns 400","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","202","Send message without subject returns 400","","2026-05-09","passed","2026-05-09","Mail Send","Mail Service","",""
"","2254","Create user with valid employment status","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","13404","Login token has correct format","","2026-05-09","passed","2026-05-09","Login","Authentication","",""
"","2381","Create, delete, confirm HEAD returns 404","","2026-05-09","passed","2026-05-09","Delete User","User Management","",""
"","2103","HEAD exists for non-existent user returns 404 with X-User-Exists false","","2026-05-09","passed","2026-05-09","User Exists","User Management","",""
"","2177","Create user with valid employment status","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","101","Create mailbox with empty body returns 201","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","201","Get mailbox response has all required fields","","2026-05-09","passed","2026-05-09","Mailbox Get","Mail Service","",""
"","2183","Create user with valid gender enum value","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","100","Create mailbox with too-long local_part returns 400","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","2171","Response headers include x-request-id after create","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2284","Update user with invalid email returns 400","","2026-05-09","passed","2026-05-09","Update User","User Management","",""
"","13284","Login with non-existent email returns 401","","2026-05-09","passed","2026-05-09","Login","Authentication","",""
"","2277","Delete existing user returns 204","","2026-05-09","passed","2026-05-09","Delete User","User Management","",""
"","98","Create mailbox with invalid domain returns 400","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","205","Send message with html_body","","2026-05-09","passed","2026-05-09","Mail Send","Mail Service","",""
"","2183","Create user with valid employment status","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2104","Update non-existent user returns 404","","2026-05-09","passed","2026-05-09","Update User","User Management","",""
"","2172","Create user with valid gender enum value","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2120","List users returns 200 with pagination fields","","2026-05-09","passed","2026-05-09","List Users","User Management","",""
"","402","Messages are sorted newest first","","2026-05-09","passed","2026-05-09","Mail Messages","Mail Service","",""
"","2312","Partial update email returns 200 with new email","","2026-05-09","passed","2026-05-09","Patch User","User Management","",""
"","204","Create mailbox then retrieve it","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","200","Get message with fake message ID returns 404","","2026-05-09","passed","2026-05-09","Mail Messages","Mail Service","",""
"","102","List messages for non-existent mailbox returns 404","","2026-05-09","passed","2026-05-09","Mail Messages","Mail Service","",""
"","2287","Full update user returns 200 with updated data","","2026-05-09","passed","2026-05-09","Update User","User Management","",""
"","198","Response 204 has no body","","2026-05-09","passed","2026-05-09","Mailbox Delete","Mail Service","",""
"","2315","Get user response does not include password","","2026-05-09","passed","2026-05-09","Get User","User Management","",""
"","13506","Login invalidates previous token","","2026-05-09","passed","2026-05-09","Login","Authentication","",""
"","2126","GET exists for non-existent user returns 404","","2026-05-09","passed","2026-05-09","User Exists","User Management","",""
"","2474","Deleted user is no longer findable via GET","","2026-05-09","passed","2026-05-09","Delete User","User Management","",""
"","199","Send message without body returns 400","","2026-05-09","passed","2026-05-09","Mail Send","Mail Service","",""
"","102","Mailbox response has request-id header","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","314","Get single message returns full body and html_body","","2026-05-09","passed","2026-05-09","Mail Messages","Mail Service","",""
"","2172","Create user with valid gender enum value","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2165","Access token has correct format after create","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","307","Deleted mailbox is not retrievable","","2026-05-09","passed","2026-05-09","Mailbox Delete","Mail Service","",""
"","2279","Delete user with wrong token returns 401","","2026-05-09","passed","2026-05-09","Delete User","User Management","",""
"","13371","Login with valid credentials returns 200 with token","","2026-05-09","passed","2026-05-09","Login","Authentication","",""
"","402","Messages are also deleted when mailbox is deleted","","2026-05-09","passed","2026-05-09","Mailbox Delete","Mail Service","",""
"","2279","HEAD exists for existing user returns 200 with X-User-Exists true","","2026-05-09","passed","2026-05-09","User Exists","User Management","",""
"","2334","Partial update username returns 200","","2026-05-09","passed","2026-05-09","Patch User","User Management","",""
"","2106","Delete non-existent user returns 401 (no valid token)","","2026-05-09","passed","2026-05-09","Delete User","User Management","",""
"","101","Mailbox token is a UUID format","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","13150","Login with short password returns 400","","2026-05-09","passed","2026-05-09","Login","Authentication","",""
"","2101","Get user with malformed ID returns 404","","2026-05-09","passed","2026-05-09","Get User","User Management","",""
"","100","Create mailbox with valid domain","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","2173","Create user with valid theme setting","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2164","Created user has correct metadata defaults","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2100","OPTIONS returns 204","","2026-05-09","passed","2026-05-09","Options","User Management","",""
"","2286","Update user with wrong token returns 401","","2026-05-09","passed","2026-05-09","Update User","User Management","",""
"","103","Send message to non-existent mailbox returns 404","","2026-05-09","passed","2026-05-09","Mail Send","Mail Service","",""
"","13343","Login with wrong password returns 401","","2026-05-09","passed","2026-05-09","Login","Authentication","",""
"","200","Send message without from field returns 400","","2026-05-09","passed","2026-05-09","Mail Send","Mail Service","",""
"","2100","OPTIONS response has Allow header","","2026-05-09","passed","2026-05-09","Options","User Management","",""
"","13123","Login with missing password returns 400","","2026-05-09","passed","2026-05-09","Login","Authentication","",""
"","207","Send message returns 201 with full message object","","2026-05-09","passed","2026-05-09","Mail Send","Mail Service","",""
"","2109","List users returns non-empty result","","2026-05-09","passed","2026-05-09","List Users","User Management","",""
"","102","Delete non-existent mailbox returns 404","","2026-05-09","passed","2026-05-09","Mailbox Delete","Mail Service","",""
"","440","Full login-logout-login flow","","2026-05-09","passed","2026-05-09","Logout","Authentication","",""
"","103","Get mailbox with non-existent token returns 404","","2026-05-09","passed","2026-05-09","Mailbox Get","Mail Service","",""
"","2162","Create user with valid theme setting","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","116","Health endpoint returns 200 with ok status","","2026-05-09","passed","2026-05-09","Availability","Health Check","",""
"","101","Create mailbox with invalid chars in local_part returns 400","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","2191","Create user with short password returns 400","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2275","Delete user without token returns 401","","2026-05-09","passed","2026-05-09","Delete User","User Management","",""
"","2182","Create user with valid theme setting","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","2365","Exists response always has X-User-Exists header","","2026-05-09","passed","2026-05-09","User Exists","User Management","",""
"","2151","Create user without email returns 400","","2026-05-09","passed","2026-05-09","Create User","User Management","",""
"","102","Create mailbox with valid domain","","2026-05-09","passed","2026-05-09","Mailbox Create","Mail Service","",""
"","2109","Get user with non-existent ID returns 404","","2026-05-09","passed","2026-05-09","Get User","User Management","",""
